time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447179726	9.06587	-7.95147	-2.82511	2.19102	0.0904447	lidar	1.16323	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.10915	-8.06911	-2.74345	2.16611	0.0524183	radar	8.5049	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.16118	-8.21431	-2.74027	2.14282	0.027042	lidar	0.675443	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.23775	-8.33699	-2.75637	2.14399	0.0287214	radar	0.417938	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.2715	-8.48384	-2.75847	2.11017	-0.00520437	lidar	1.11176	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.31346	-8.61216	-2.70057	2.08201	-0.0410232	radar	5.21028	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.35323	-8.75748	-2.69617	2.05536	-0.0644773	lidar	0.68578	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.48941	-8.89353	-2.83704	2.11165	0.0173965	radar	30.5023	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.52721	-9.05066	-2.84986	2.07884	-0.0144907	lidar	1.04212	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.571	-9.17392	-2.8109	2.05764	-0.0407436	radar	2.63412	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.61185	-9.31542	-2.81404	2.03509	-0.0602593	lidar	0.383951	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.64891	-9.43849	-2.78013	2.01273	-0.0846196	radar	1.89131	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.6667	-9.59189	-2.78591	1.97475	-0.116658	lidar	1.06563	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.73237	-9.7274	-2.81078	1.97744	-0.103839	radar	0.964327	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
1477010447899766	9.75086	-9.88101	-2.81744	1.94251	-0.131939	lidar	0.841892	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
1477010447954720	9.76858	-10.0203	-2.76877	1.90402	-0.172552	radar	4.11721	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
1477010448009675	9.80114	-10.1651	-2.76331	1.88452	-0.182219	lidar	0.250555	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
1477010448059664	9.84045	-10.3013	-2.76168	1.87007	-0.189386	radar	0.545808	9.92627	-10.4745	9.75	-10.3	0	-3.00065
1477010448109654	9.84927	-10.4489	-2.76585	1.83732	-0.211203	lidar	0.566191	9.75524	-10.4732	9.75	-10.45	0	-3.00063
1477010448164710	9.89197	-10.5945	-2.77489	1.83244	-0.200698	radar	0.8137	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
1477010448219767	9.91117	-10.7492	-2.77604	1.80771	-0.213517	lidar	0.217381	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
1477010448274697	9.91793	-10.8952	-2.74464	1.76923	-0.249098	radar	2.33639	9.88465	-10.9383	9.85	-10.9	0	-2.73074
1477010448329628	9.92044	-11.0497	-2.74459	1.73789	-0.265628	lidar	0.414121	9.83614	-11.041	9.85	-11.05	0	-2.73073
1477010448379634	9.9367	-11.1843	-2.74163	1.72076	-0.269849	radar	0.0939469	9.83952	-11.1692	9.85	-11.2	0	-2.99965
1477010448429641	9.92851	-11.3316	-2.74773	1.68765	-0.287874	lidar	0.430594	9.84568	-11.3496	9.85	-11.35	0	-2.99961
1477010448479667	9.94243	-11.4709	-2.75136	1.67249	-0.288001	radar	0.0712081	9.87961	-11.5637	9.85	-11.5	0	-2.99843
1477010448529693	9.92546	-11.6185	-2.75764	1.63747	-0.306892	lidar	0.524138	9.83206	-11.6307	9.85	-11.65	0	-2.99843
1477010448579678	9.85797	-11.7468	-2.69017	1.54267	-0.415367	radar	16.8489	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
1477010448629664	9.83089	-11.8804	-2.68736	1.50821	-0.428208	lidar	0.434196	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
1477010448679644	9.80758	-12.0114	-2.67932	1.47448	-0.44393	radar	0.341923	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
1477010448729625	9.76133	-12.1517	-2.6861	1.43128	-0.462937	lidar	0.668394	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
1477010448779630	9.6947	-12.2798	-2.66074	1.35514	-0.535576	radar	5.88054	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
1477010448829636	9.64116	-12.4046	-2.65706	1.31375	-0.549204	lidar	0.631203	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
1477010448879685	9.5242	-12.5145	-2.62016	1.19607	-0.670838	radar	13.651	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
1477010448929734	9.4524	-12.6268	-2.61414	1.14862	-0.68392	lidar	0.751774	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
1477010448984693	9.3712	-12.7513	-2.60897	1.08822	-0.714573	radar	0.756143	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
1477010449039652	9.28788	-12.8621	-2.59728	1.03881	-0.724768	lidar	0.755871	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.11498	-12.9438	-2.58504	0.873491	-0.900927	radar	25.3973	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	8.99255	-13.032	-2.58972	0.804427	-0.921861	lidar	1.57879	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.84075	-13.1116	-2.59495	0.692841	-1.00284	radar	4.78209	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.71784	-13.1778	-2.57946	0.626169	-1.01503	lidar	1.09243	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.56277	-13.2278	-2.59625	0.511174	-1.10216	radar	5.61981	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.43217	-13.2697	-2.5895	0.441732	-1.11559	lidar	0.970172	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.24342	-13.2904	-2.62289	0.298356	-1.2271	radar	9.65604	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.09316	-13.302	-2.61055	0.214637	-1.24326	lidar	1.3587	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.92974	-13.3056	-2.6249	0.113934	-1.28477	radar	1.96183	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	7.78346	-13.2932	-2.61139	0.0301074	-1.29873	lidar	0.886248	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.68933	-13.3252	-2.55925	0.0247541	-1.21562	radar	7.2269	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.54405	-13.3137	-2.57033	-0.0469834	-1.22323	lidar	0.686456	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.39849	-13.2943	-2.57014	-0.119225	-1.2263	radar	0.82354	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.24398	-13.2683	-2.58421	-0.192032	-1.22864	lidar	0.415241	7.16011	-13.2382	7.15	-13.25	-2.72844	0
1477010449829700	7.09508	-13.2036	-2.62486	-0.296596	-1.28426	radar	4.39584	6.88472	-12.9588	7	-13.2	-2.99784	0.999284
1477010449879736	6.9522	-13.1617	-2.64553	-0.361935	-1.2817	lidar	0.567009	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284
1477010449934724	6.81946	-13.1132	-2.6416	-0.425441	-1.27324	radar	0.185774	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275
1477010449989712	6.66781	-13.0562	-2.6664	-0.48981	-1.26405	lidar	0.656421	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284
1477010450044722	6.55959	-13.0248	-2.58739	-0.510241	-1.19435	radar	9.91552	6.40137	-13.0799	6.4	-13.05	-2.72678	0
1477010450099732	6.40436	-12.9769	-2.62233	-0.554392	-1.16932	lidar	1.4637	6.26174	-13.0534	6.25	-13.05	-2.72678	0
1477010450154684	6.28712	-12.9188	-2.59136	-0.595948	-1.138	radar	2.01447	6.10143	-13.0076	6.1	-13	-2.72966	0.909888
1477010450209637	6.12566	-12.8674	-2.63418	-0.627633	-1.10376	lidar	2.29315	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988
1477010450259674	6.00369	-12.7566	-2.70863	-0.713976	-1.14936	radar	6.84675	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851
1477010450309711	5.85325	-12.6914	-2.75252	-0.740672	-1.11535	lidar	2.41595	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852
1477010450364717	5.75125	-12.6193	-2.6797	-0.769159	-1.0674	radar	8.4948	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995
1477010450419723	5.59861	-12.5518	-2.7114	-0.788045	-1.02684	lidar	2.11175	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995
